DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
2/29/2020,1,null,null,0
3/3/2020,1,null,null,0
3/4/2020,5,null,null,0
3/5/2020,3,null,null,0
3/6/2020,8,null,null,0
3/7/2020,7,null,null,0
3/8/2020,21,7,null,0
3/9/2020,57,15,null,0
3/10/2020,70,24,null,0
3/11/2020,155,46,null,0
3/12/2020,357,96,null,0
3/13/2020,619,184,null,0
3/14/2020,643,275,null,0
3/15/2020,1036,420,null,0
3/16/2020,2121,714,null,0
3/17/2020,2452,1055,null,0
3/18/2020,2971,1457,null,0
3/19/2020,3707,1936,null,0
3/20/2020,4007,2420,null,0
3/21/2020,2637,2704,null,0
3/22/2020,2579,2925,null,0
3/23/2020,3570,3132,null,0
3/24/2020,4503,3425,null,0
3/25/2020,4874,3697,null,0
3/26/2020,5047,3888,null,0
3/27/2020,5118,4047,null,0
3/28/2020,3479,4167,null,0
3/29/2020,3562,4308,null,0
3/30/2020,6130,4673,null,0
3/31/2020,5464,4811,null,0
4/1/2020,5450,4893,null,0
4/2/2020,5748,4993,null,0
4/3/2020,5670,5072,null,0
4/4/2020,3866,5127,null,0
4/5/2020,3782,5159,null,0
4/6/2020,6354,5191,null,0
4/7/2020,6045,5274,null,0
4/8/2020,5581,5292,null,0
4/9/2020,5071,5196,null,0
4/10/2020,4513,5030,null,0
4/11/2020,3731,5011,null,0
4/12/2020,2888,4883,null,0
4/13/2020,3313,4449,null,0
4/14/2020,4146,4178,null,0
4/15/2020,3878,3934,null,0
4/16/2020,3528,3714,null,0
4/17/2020,3584,3581,null,0
4/18/2020,2172,3358,null,0
4/19/2020,2346,3281,null,0
4/20/2020,3794,3350,null,0
4/21/2020,3064,3195,null,0
4/22/2020,3461,3136,null,0
4/23/2020,2842,3038,null,0
4/24/2020,2535,2888,null,0
4/25/2020,1597,2806,null,0
4/26/2020,1003,2614,null,0
4/27/2020,2289,2399,null,0
4/28/2020,2728,2351,null,0
4/29/2020,2341,2191,null,0
4/30/2020,2022,2074,null,0
5/1/2020,1889,1981,null,0
5/2/2020,1058,1904,null,0
5/3/2020,786,1873,null,0
5/4/2020,1551,1768,null,0
5/5/2020,1512,1594,null,0
5/6/2020,1398,1459,null,0
5/7/2020,1237,1347,null,0
5/8/2020,1082,1232,null,0
5/9/2020,658,1175,null,0
5/10/2020,458,1128,null,0
5/11/2020,1232,1082,null,0
5/12/2020,1285,1050,null,0
5/13/2020,1335,1041,null,0
5/14/2020,1112,1023,null,0
5/15/2020,875,994,null,0
5/16/2020,486,969,null,0
5/17/2020,359,955,null,0
5/18/2020,897,907,null,0
5/19/2020,1004,867,null,0
5/20/2020,1078,830,null,0
5/21/2020,1069,824,null,0
5/22/2020,1039,847,null,0
5/23/2020,457,843,null,0
5/24/2020,467,859,null,0
5/25/2020,467,797,null,0
5/26/2020,1053,804,null,0
5/27/2020,745,757,null,0
5/28/2020,646,696,null,0
5/29/2020,646,640,null,0
5/30/2020,349,625,null,0
5/31/2020,230,591,null,0
6/1/2020,687,622,null,0
6/2/2020,574,554,null,0
6/3/2020,516,521,null,0
6/4/2020,523,504,null,0
6/5/2020,404,469,null,0
6/6/2020,246,454,null,0
6/7/2020,198,450,null,0
6/8/2020,451,416,null,0
6/9/2020,421,394,null,0
6/10/2020,365,373,null,0
6/11/2020,366,350,null,0
6/12/2020,410,351,null,0
6/13/2020,197,344,null,0
6/14/2020,180,341,null,0
6/15/2020,380,331,null,0
6/16/2020,420,331,null,0
6/17/2020,356,330,null,0
6/18/2020,378,332,null,0
6/19/2020,362,325,null,0
6/20/2020,203,326,null,0
6/21/2020,172,324,null,0
6/22/2020,398,327,null,0
6/23/2020,383,322,null,0
6/24/2020,383,326,null,0
6/25/2020,299,314,null,0
6/26/2020,314,307,null,0
6/27/2020,207,308,null,0
6/28/2020,203,312,null,0
6/29/2020,439,318,null,0
6/30/2020,442,327,null,0
7/1/2020,397,329,null,0
7/2/2020,417,346,null,0
7/3/2020,233,334,null,0
7/4/2020,120,322,null,0
7/5/2020,154,315,null,0
7/6/2020,434,314,null,0
7/7/2020,461,317,null,0
7/8/2020,437,322,null,0
7/9/2020,392,319,null,0
7/10/2020,309,330,null,0
7/11/2020,257,349,null,0
7/12/2020,224,359,null,0
7/13/2020,484,366,null,0
7/14/2020,401,358,null,0
7/15/2020,440,358,null,0
7/16/2020,417,362,null,0
7/17/2020,418,377,null,0
7/18/2020,218,372,null,0
7/19/2020,176,365,null,0
7/20/2020,401,353,null,0
7/21/2020,339,344,null,0
7/22/2020,330,328,null,0
7/23/2020,309,313,null,0
7/24/2020,299,296,null,0
7/25/2020,153,287,null,0
7/26/2020,140,282,null,0
7/27/2020,314,269,null,0
7/28/2020,313,265,null,0
7/29/2020,290,260,null,0
7/30/2020,270,254,null,0
7/31/2020,264,249,null,0
8/1/2020,189,254,null,0
8/2/2020,137,254,null,0
8/3/2020,348,259,null,0
8/4/2020,187,241,null,0
8/5/2020,299,242,null,0
8/6/2020,292,245,null,0
8/7/2020,254,244,null,0
8/8/2020,160,240,null,0
8/9/2020,133,239,null,0
8/10/2020,309,233,null,0
8/11/2020,261,244,null,0
8/12/2020,319,247,null,0
8/13/2020,276,245,null,0
8/14/2020,278,248,null,0
8/15/2020,151,247,null,0
8/16/2020,140,248,null,0
8/17/2020,327,250,null,0
8/18/2020,283,253,null,0
8/19/2020,258,245,null,0
8/20/2020,225,237,null,0
8/21/2020,251,234,null,0
8/22/2020,135,231,null,0
8/23/2020,150,233,null,0
8/24/2020,297,228,null,0
8/25/2020,282,228,null,0
8/26/2020,313,236,null,0
8/27/2020,268,242,null,0
8/28/2020,277,246,null,0
8/29/2020,128,245,null,0
8/30/2020,181,249,null,0
8/31/2020,309,251,null,0
9/1/2020,296,253,null,0
9/2/2020,276,248,null,0
9/3/2020,273,249,null,0
9/4/2020,228,242,null,0
